 
PARNELL,477,05:21:18,2019-06-13 05:29:38.287036
ILAC, ,05:21:18,2019-06-13 05:29:38.287036
JERVIS, ,05:21:18,2019-06-13 05:29:38.287036
ARNOTTS, ,05:21:18,2019-06-13 05:29:38.287036
MARLBORO,141,05:21:18,2019-06-13 05:29:38.287036
ABBEY, ,05:21:18,2019-06-13 05:29:38.287036
THOMASST, ,05:21:18,2019-06-13 05:29:38.287036
C/CHURCH, ,05:21:18,2019-06-13 05:29:38.287036
SETANTA,189,05:21:18,2019-06-13 05:29:38.287036
DAWSON, ,05:21:18,2019-06-13 05:29:38.287036
TRINITY,327,05:21:18,2019-06-13 05:29:38.287036
GREENRCS,1112,05:21:18,2019-06-13 05:29:38.287036
DRURY, ,05:21:18,2019-06-13 05:29:38.287036
B/THOMAS, ,05:21:18,2019-06-13 05:29:38.287036
PARNELL,477,05:31:17,2019-06-13 05:34:48.864394
ILAC, ,05:31:17,2019-06-13 05:34:48.864394
JERVIS, ,05:31:17,2019-06-13 05:34:48.864394
ARNOTTS, ,05:31:17,2019-06-13 05:34:48.864394
MARLBORO,140,05:31:17,2019-06-13 05:34:48.864394
ABBEY, ,05:31:17,2019-06-13 05:34:48.864394
THOMASST, ,05:31:17,2019-06-13 05:34:48.864394
C/CHURCH, ,05:31:17,2019-06-13 05:34:48.864394
SETANTA, ,05:31:17,2019-06-13 05:34:48.864394
DAWSON, ,05:31:17,2019-06-13 05:34:48.864394
TRINITY,326,05:31:17,2019-06-13 05:34:48.864394
GREENRCS,1111,05:31:17,2019-06-13 05:34:48.864394
DRURY, ,05:31:17,2019-06-13 05:34:48.864394
B/THOMAS, ,05:31:17,2019-06-13 05:34:48.864394
PARNELL,477,05:35:17,2019-06-13 05:39:49.033836
ILAC, ,05:35:17,2019-06-13 05:39:49.033836
JERVIS, ,05:35:17,2019-06-13 05:39:49.033836
ARNOTTS, ,05:35:17,2019-06-13 05:39:49.033836
MARLBORO,140,05:35:17,2019-06-13 05:39:49.033836
ABBEY, ,05:35:17,2019-06-13 05:39:49.033836
THOMASST, ,05:35:17,2019-06-13 05:39:49.033836
C/CHURCH, ,05:35:17,2019-06-13 05:39:49.033836
SETANTA,188,05:35:17,2019-06-13 05:39:49.033836
DAWSON, ,05:35:17,2019-06-13 05:39:49.033836
TRINITY,326,05:35:17,2019-06-13 05:39:49.033836
GREENRCS,1110,05:35:17,2019-06-13 05:39:49.033836
DRURY, ,05:35:17,2019-06-13 05:39:49.033836
B/THOMAS, ,05:35:17,2019-06-13 05:39:49.033836
PARNELL,477,05:35:17,2019-06-13 05:44:49.198949
ILAC, ,05:35:17,2019-06-13 05:44:49.198949
JERVIS, ,05:35:17,2019-06-13 05:44:49.198949
ARNOTTS, ,05:35:17,2019-06-13 05:44:49.198949
MARLBORO,140,05:35:17,2019-06-13 05:44:49.198949
ABBEY, ,05:35:17,2019-06-13 05:44:49.198949
THOMASST, ,05:35:17,2019-06-13 05:44:49.198949
C/CHURCH, ,05:35:17,2019-06-13 05:44:49.198949
SETANTA,188,05:35:17,2019-06-13 05:44:49.198949
DAWSON, ,05:35:17,2019-06-13 05:44:49.198949
TRINITY,326,05:35:17,2019-06-13 05:44:49.198949
GREENRCS,1110,05:35:17,2019-06-13 05:44:49.198949
DRURY, ,05:35:17,2019-06-13 05:44:49.198949
B/THOMAS, ,05:35:17,2019-06-13 05:44:49.198949
PARNELL,477,05:45:17,2019-06-13 05:49:49.346715
ILAC, ,05:45:17,2019-06-13 05:49:49.346715
JERVIS, ,05:45:17,2019-06-13 05:49:49.346715
ARNOTTS, ,05:45:17,2019-06-13 05:49:49.346715
MARLBORO,140,05:45:17,2019-06-13 05:49:49.346715
ABBEY, ,05:45:17,2019-06-13 05:49:49.346715
THOMASST, ,05:45:17,2019-06-13 05:49:49.346715
